Chemical Companies,Emails
Emmabisco Nigeria Company Ltd,emmabisconig@hotmail.com
Rose & Velvet Spa,info@roseandvelvet.com
Chidex Global Investment,N/A
Current Foam Industries And Chemicals Ltd,info@currentfoam.com
Techno Oil Ltd,info@technooil.com
Henkel Chemicals Nig. Ltd,cormart@clicktgi.net
Cormart Nigeria Limited,cormart@clicktgi.net
O.C. Hexagon Nig. Ltd,ochexagon@yahoo.com
Fine Chemicals Nig. Ltd,gmsales@finechemicalsltd.com
Jawa Group,contactus@jawasil.com
Chemlap Nigeria Ltd,admin@chemlap.com
Chellarams Plc,sales-lagos@chellaramsplc.com
Dow Chemical Company,N/A
Nigerian-German Chemicals Plc,enquiry@ngc.ng
Vitachem Nigeria Limited,enquiries@vitachmeng.com
Kamsy Chemicals & Allied Products,info@kamsychemicals.com
Nigerian German Chemicals,kemi@ngc.ng
Bond Chemical Industries Ltd,lagosoffice@bondpharm.com
Embassy Pharmaceutical,N/A
The Specialist Laboratories (Nig) Limited,N/A
Zuma Paints & Chemical Company Ltd,N/A
Logitude Projects Ltd,info@logitudeprojects.com
Servipower,perkins@servipowerng.com
Melvyn Nickson Nig. Ltd,melvynnickson@yahoo.com
Healthglow Aesthetic Medical Clinic,info@healthglow.com.ng
Timproxy Lagos Office,info@timproxy.com
Meyer Plc,info@meyerpaints.com
DN Meyer Plc,info@meyerpaints.com
DN Meyer Nigeria Plc,info@meyerpaints.com
DN Meyer Plc,info@meyerpaints.com
DN Meyer,N/A
DN Meyer Paint,N/A
DN Meyer Paint Plc,info@meyerpaints.com
Sandtex Paints Experience Centre,customerservice@portlandpaintsng.com
DN Meyer Nigeria Plc,N/A
DN Meyer Paints Nigeria,info@meyerpaints.com
DN Meyer Plc,N/A
DN Meyer PLC,info@meyerpaints.com
Zayo-Sigma Chemicals,info@zayosigma.com
DN Meyer (Nig) Plc,N/A
Ricado Sunnies,ricadosunnies@gmail.com
"Federal Medical Centre, Yenagoa",info@fmcyenagoa.org.ng
Ahuzzath Global Ventures Nigeria Ltd,N/A
Alege Scientific Limited (A.S.L),alegescience@gmail.com
McDonald Scientific Emporium,mcdonald@mcdonaldscientific.com
Lexok Global Services Ltd,lexokenterprise@yahoo.com
Equilab Business Solutions Limited,info@equilabsolutions.com
Harvestfield Industries Limited,info@harvestfield-ng.com
Tormek Global Services Limited,enquiries@tormekglobal.com
F-Thecla Ventures Nig. Ltd,info@ftheclaventuresltd.com
KSL Chemicals Ltd,henzo.production@gmail.com
Sunshine Oil And Chemical,sales@sunshineoilandchemical.com
Ashwell Engineering Limited,info@ashwelleng.com
Kenny Medicals,enquiries@kennymedicals.com
County Service Solution Nigeria limited,info@countycargo.com
Divine Marine Shipping Ltd,admin@divinemarinegrp.com
Laserderm Clinics,info@laserdermclinicsng.com
Remaben Scientific Services Ltd,remabenscientific@yahoo.com
Labstock Nigeria Limited,sales@labstocknigeria.com
Macjames Global Resources Limited,info@macjamesglobal.com
Sudit Oil and Chemicals Ltd,info@slabmarkgroup.com
Portland Paints & Products Nigeria Plc,customerservice@portlandpaintsng.com
Current Foam Industries & Chemical Ltd,info@currentfoam.com
Clina-Lancet Laboratories Nigeria,abayomi.abolarin@lancet.com.ng
Union Diagnostics and Clinical Services Plc,info@uniondiagnostic.com.ng
Lagos State Materials Testing Laboratory (LSMTL),info@lsmtl.gov.ng
Afamchris Nigeria Ltd,info@afamchris.com
Zuma Paints,info@zumapaints.com.ng
Marshal Paints,N/A
VISTA Limited,vista.abuja@vistaafrica.net
Excel Charis Pharmaceutical Chemical Limited,nfo@excelcharispharm.com
Synapse Technologies,info@synapsetechnologies.com.ng
WATTCCON,info@wattccon.com
Portland Paints Nigeria Plc,customerservice@portlandpaintsng.com
Surgfriend Hospital Equipment Ltd,info@surgfriend.com
Juan Industries,N/A
Falcon Chemicals,macrosol@falcon-chemicals.com
Integrated Oil & Gas Limited,info@integratedoilandgas.com
Notore Chemical Industries,N/A
Energy Shield Petrochemical Ltd,contact@energyshieldpetrochemical.com
Nycil Ltd,info@nycil.org
Lagra & Associates Ltd,lagraassociates@gmail.com
Shepha Refining and Petrochemicals Company Ltd,info@shepha.com.ng
Dinetuks Nigeria Ltd,info@dinetuks.com
Aquafortis Nigeria Ltd,info@aquafortis.com.ng
Current Form Industries & Chemicals Limited,info@currentfoam.com
Mon Scientific Nigeria Limited,monandm@yahoo.com
Ricado Sunnies Nigeria Ltd,info@ricadosunnies.com
Quality Marine Services Ltd,info@qualitymarineng.com
